Data;Histórico;Fech.;Var.Dia (%);Abertura;Mínimo;Medio;Máximo;Volume;Negócios
27/07/2018;18,45;18,45;-0,65;18,74;18,38;18,49;18,77;41260421;6477
26/07/2018;18,57;18,57;-1,75;18,8;18,23;18,58;18,93;62073930;8834
25/07/2018;18,9;18,9;-0,53;18,93;18,9;19;19,18;50944141;8024
24/07/2018;19;19;0,85;19;18,81;19,11;19,36;68189329;10395
23/07/2018;18,84;18,84;1,47;18,5;18,33;18,81;18,98;40117829;10098
20/07/2018;18,65;18,57;-0,69;18,87;18,37;18,66;19,02;75905183;18916
19/07/2018;18,78;18,7;1,68;18,32;18,03;18,42;18,82;45152757;9027
18/07/2018;18,47;18,39;1,54;18,32;18,26;18,62;19,12;81249736;11827
17/07/2018;18,19;18,11;4,3;17,36;17,36;17,97;18,31;87154148;16964
16/07/2018;17,44;17,36;1,69;17,04;17;17,27;17,45;47472408;11414
13/07/2018;17,15;17,07;0,59;16,86;16,69;16,98;17,07;27712019;5893
12/07/2018;17,05;16,97;1,43;16,73;16,63;16,92;17;44241785;10657
11/07/2018;16,81;16,74;-1,12;16,77;16,69;16,76;16,93;54176643;10312
10/07/2018;17;16,92;4,04;16,33;16,25;16,57;16,92;56050523;12736
06/07/2018;16,34;16,27;2,25;15,78;15,78;16,15;16,37;25810098;6875
05/07/2018;15,98;15,91;0,5;15,73;15,55;15,78;16,06;41200141;9053
04/07/2018;15,9;15,83;-0,62;16,15;15,83;15,91;16,15;8226170;3162
03/07/2018;16;15,93;2,17;15,68;15,68;15,89;15,96;41882983;10714
02/07/2018;15,66;15,59;-3,4;16,23;15,59;15,71;16,23;25075801;8038
29/06/2018;16,25;16,14;0,87;16,08;16;16,15;16,32;51711555;12860
28/06/2018;16,11;16;2,48;15,65;15,44;15,9;16,05;37664727;8566
27/06/2018;15,72;15,61;-1,5;15,88;15,41;15,58;15,91;38779464;9500
26/06/2018;15,96;15,85;0,88;15,91;15,52;15,7;15,94;31486875;8303
25/06/2018;15,82;15,71;2,46;15,39;15,39;15,7;15,93;38141753;10795
22/06/2018;15,44;15,33;-0,19;15,4;15,22;15,36;15,48;45407695;9960
21/06/2018;15,47;15,36;0,45;15,3;15,17;15,36;15,52;48659702;10733
20/06/2018;15,4;15,3;1,25;15,31;15,03;15,21;15,33;44812750;10007
19/06/2018;15,21;15,11;-0,39;15,15;14,97;15,24;15,55;53077279;14105
18/06/2018;15,27;15,17;-3,23;15,48;15,15;15,26;15,57;42173953;12570
15/06/2018;15,78;15,67;3,48;15,05;15,02;15,47;15,67;114199828;19444
14/06/2018;15,25;15,15;-2,31;15,35;15,02;15,25;15,59;59435894;17429
13/06/2018;15,61;15,5;-1,76;15,84;15,35;15,59;15,97;55092930;14819
12/06/2018;15,89;15,78;-1,12;16,01;15,72;15,89;16,17;40067942;8803
11/06/2018;16,07;15,96;-2,61;16,44;15,86;16,06;16,51;38249884;9692
08/06/2018;16,5;16,39;0,43;16,47;15,78;16,32;16,63;67908194;17031
07/06/2018;16,43;16,32;-3,35;16,88;15,76;16,45;17,14;73996688;19327
06/06/2018;17;16,88;3,66;16,19;16,15;16,75;16,91;115838228;14899
05/06/2018;16,4;16,29;-2,38;16,78;16,17;16,56;16,89;66754851;16643
04/06/2018;16,8;16,69;-1,47;17,1;16,63;16,86;17,22;61146234;14357
01/06/2018;17,05;16,93;-0,76;17,34;16,68;16,99;17,88;66935198;14720
30/05/2018;17,18;17,06;-1,09;17,35;16,97;17,16;17,61;230346051;23790
29/05/2018;17,37;17,25;-1,75;17,73;17,25;17,65;18,24;119365209;22645
28/05/2018;17,68;17,56;-5,45;18,32;17,51;18,03;18,7;48336984;12961
25/05/2018;18,7;18,57;-0,64;18,61;18,38;18,73;19,3;59087945;10943
24/05/2018;18,82;18,69;4,44;18,12;17,93;18,4;18,72;64697250;10408
23/05/2018;18,02;17,9;-0,11;17,91;17,83;18;18,19;46947832;9384
22/05/2018;18,04;17,92;0,61;18;17,77;17,96;18,33;51624839;12675
21/05/2018;17,93;17,81;-2,02;18,28;17,78;18,08;18,59;54323328;11546
18/05/2018;18,3;18,18;-2,09;18,29;17,97;18,32;18,55;65308552;14958
17/05/2018;18,69;18,56;-2,04;18,92;18,31;18,58;18,93;56048785;14555
16/05/2018;19,08;18,95;2,58;18,28;18,23;18,81;19,05;36004696;7290
15/05/2018;18,6;18,47;3,97;17,58;17,58;18,27;18,67;66518429;15555
